Parent Model,Size,Actual Size,MERV,Thickness,Sale Price
AF20x25x4-M11,20x25x4,19.5 x 24.5 x 3.75,MERV 11,4-Inch Filter,11.82
AF20x30x1-M11,20x30x1,19.5 x 29.5 x .75,MERV 11,1-Inch Filter,6.81
AF20x30x2-M11,20x30x2,19.5 x 29.5 x 1.75,MERV 11,2-Inch Filter,8.56
AF20x35x2-M11,20x35x2,19.5 x 34.5 x 1.75,MERV 11,2-Inch Filter,9.87
AF20x36x1-M11,20x36x1,19.5 x 35.5 x .75,MERV 11,1-Inch Filter,6.86
AF20x40x1-M11,20x40x1,19.5 x 39.5 x .75,MERV 11,1-Inch Filter,7.9
AF21x21x1-M11,21x21x1,20.5 x 20.5 x .75,MERV 11,1-Inch Filter,5.85
AF21x21x1A-M11,21x21x1a,21 x 21 x .75,MERV 11,1-Inch Filter,5.83
AF21x23x1A-M11,21x23x1a,21 x 23 x .75,MERV 11,1-Inch Filter,6.03
AF22x24x1-M11,22x24x1,21.5 x 23.5 x .75,MERV 11,1-Inch Filter,6.06
AF22x24x1A-M11,22x24x1a,22 x 24 x .75,MERV 11,1-Inch Filter,6.34
AF24x24x1-M11,24x24x1,23.5 x 23.5 x .75,MERV 11,1-Inch Filter,8.33
AF24x24x2N-M11,24x24x2n,23.38 x 23.38 x 1.75,MERV 11,2-Inch Filter,8.81
AF24x24x4N-M11,24x24x4n,23.38 x 23.38 x 3.75,MERV 11,4-Inch Filter,11.13
AF24x30x0.5-M11,24x30x0.5,23.5 x 29.5 x 0.5,MERV 11,0.5-Inch Filter,6.84
AF24x30x1-M11,24x30x1,23.5 x 29.5 x .75,MERV 11,1-Inch Filter,7.37
AF24x36x1-M11,24x36x1,23.5 x 35.5 x .75,MERV 11,1-Inch Filter,8.35
AF24x36x1A-M11,24x36x1a,24 x 36 x .75,MERV 11,1-Inch Filter,6.83
AF24X40X1-M11,24x40x1,23.5 x 39.5 x .75,MERV 11,1-Inch Filter,9.75
AF25x30x1-M11,25x30x1,24.5 x 29.5 x .75,MERV 11,1-Inch Filter,7.53
AF25x32x1-M11,25x32x1,24.5 x 31.5 x .75,MERV 11,1-Inch Filter,7.94
AF25x32x1A-M11,25x32x1a,25 x 32 x .75,MERV 11,1-Inch Filter,11.64
AF30x30x1-M11,30x30x1,29.5 x 29.5 x .75,MERV 11,1-Inch Filter,8.87
AF30x30x2-M11,30x30x2,29.5 x 29.5 x 1.75,MERV 11,2-Inch Filter,9.17
AF30x30x4-M11,30x30x4,29.5 x 29.5 x 3.75,MERV 11,4-Inch Filter,19.29
AF30x36x1A-M11,30x36x1a,30 x 36 x .75,MERV 11,1-Inch Filter,10.78
AF8x24x1A-M11,8x24x1a,8 x 24 x .75,MERV 11,1-Inch Filter,3.59
AF8x8x1A-M11,8x8x1a,8 x 8 x .75,MERV 11,1-Inch Filter,2.73
AF25x25x2-CO,25x25x2,24.5 x 24.5 x 1.75,CARBON,2-Inch Filter,6.8
AF25x32x1-CO,25x32x1,24.5 x 31.5 x .75,CARBON,1-Inch Filter,8.54
AF20x20x1-CO,20x20x1,19.5 x 19.5 x .75,CARBON,1-Inch Filter,11.33
AF20x25x2-CO,20x25x2,19.5 x 24.5 x 1.75,CARBON,2-Inch Filter,11.33
AF16x25x1-CO,16x25x1,15.5 x 24.5 x .75,CARBON,1-Inch Filter,12.41
AF20x25x4-CO,20x25x4,19.5 x 24.5 x 3.75,CARBON,4-Inch Filter,13.6
AF20x25x1-CO,20x25x1,19.5 x 24.5 x .75,CARBON,1-Inch Filter,15.36
AF30x30x1-CO,30x30x1,29.5 x 29.5 x .75,CARBON,1-Inch Filter,18.13
AF20X20X5-HW-CO,20x20x5,19.68 x 19.93 x 4.37,CARBON,5-Inch Filter,20.37
,14x24x1,13.5 x 23.5 x .75,,1-Inch Filter,4.88
